F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename,emotion
24.781857,0.153766,21.745474,24.847345,26.435684,4.6902103,104.43501,39.558662,85.05054,89.190834,0.53172797,0.59861165,0.36706915,0.44709548,0.58696246,0.2198933,3.8043537,2.3893135,4.7089276,3.1461983,0.28441507,0.47989503,36.23624,0.12268904,3.1444206,2.647857,14.62754,0.54019326,-5.9670043,-1.4163228,0.04967821,1.5067338,1.428325,0.60533506,4.11449,0.62139475,9.368959,0.8135466,28.278675,0.28726473,604.8726,0.33534262,1437.1827,0.19255468,-131.89998,-0.6574112,1633.3802,0.14793906,1145.4607,0.19589734,-134.78844,-0.612039,2690.1992,0.099719465,966.59045,0.23010845,-137.10754,-0.58045125,-18.639727,-0.30283028,27.957424,0.21168458,0.015243905,0.9483405,-0.02213253,-0.55485946,0.37274244,0.3741396,37.63431,0.10879822,2.8041582,3.768242,17.212597,0.6146905,-4.175823,-2.1972687,-17.09048,26.785423,0.022625798,-0.018642513,0.23747903,1.6722409,3.0612247,0.108888894,0.09768935,0.177,0.20625469,-24.19431,data/happy/4.wav,happy
36.638256,0.35169074,28.074059,29.043762,59.385956,31.311897,162.09383,138.90118,48.55531,36.875137,0.60837436,0.89854777,0.19713897,0.3774505,0.977255,0.780116,8.622072,4.39107,6.4080157,4.0648026,0.37896362,1.2808807,22.39932,0.37845755,-12.341861,-0.9536727,7.247747,1.0900278,20.273058,0.6353443,0.029370077,0.5069137,1.7581333,0.3521294,5.119504,0.47693005,16.360676,0.91991574,23.532093,0.557839,922.8581,0.18535565,1060.3586,0.29037338,-150.55069,-0.5072649,1748.9718,0.09268814,1163.6425,0.1878897,-134.56177,-0.65278643,2866.4626,0.05005579,715.4187,0.27240378,-141.8298,-0.5478263,-2.8647954,-4.290507,27.106121,0.28397933,0.004059573,5.3018975,0.0073757237,1.6048725,0.7644173,0.7377816,21.9715,0.49141914,-5.7820635,-2.4577777,12.438238,0.51192987,30.16095,0.39171058,2.0180435,19.821102,0.023139622,0.01552549,0.17839783,3.0100334,2.3890786,0.13428572,0.06455499,0.26285714,0.22575046,-20.951147,data/happy/1.wav,happy
23.69835,0.07533031,22.107834,22.835531,25.986544,3.8787098,34.24468,22.153831,18.425154,9.198225,0.50323325,0.6048906,0.26949143,0.3610464,0.7474046,0.47791314,5.5254636,4.4475436,5.916071,3.7480373,0.24624553,0.9427166,31.932081,0.36438224,1.0822095,8.006199,11.500975,0.6305666,-8.874448,-0.88241154,0.02737541,0.582049,1.2187611,0.5957744,3.7668853,0.61002594,3.9494476,3.6297944,28.65307,0.29173276,593.24677,0.31372657,1399.5895,0.15887173,-151.69801,-0.53223366,1628.0376,0.18852583,1130.0328,0.35725522,-154.55797,-0.48958236,2750.613,0.10568047,927.855,0.3236393,-156.95796,-0.45692492,-16.65192,-0.45617107,26.333067,0.31684443,0.020656643,0.66014874,-0.028288428,-0.31939453,0.513263,0.32242304,44.362946,0.10129383,4.430747,2.6676354,17.85481,0.3306406,-13.088665,-0.79251,-10.661256,20.790533,0.012486291,-0.00945041,0.15924323,3.3444817,1.7006804,0.14199999,0.06675327,0.35333332,0.47838852,-23.481693,data/happy/3.wav,happy
26.730518,0.17453425,23.940153,25.12479,27.97372,4.0335674,79.58822,45.818913,108.75419,97.90175,0.46423322,0.7838695,0.15421945,0.3403201,0.76703703,0.6128176,7.4977446,8.730295,3.513026,1.664747,0.24776798,1.4380139,27.05075,0.4148139,-9.052276,-1.8995606,6.6777754,1.4019216,18.208134,0.61897933,0.020464186,0.7917216,1.4922886,0.5125344,5.1066895,0.4495809,-1.4403883,-5.2133083,27.218458,0.38030374,637.11194,0.40127712,1307.6143,0.1836766,-147.84375,-0.5569564,1635.3658,0.14450559,1062.7672,0.1884238,-150.07921,-0.51482356,2766.5317,0.101852275,1029.4052,0.19635282,-153.35783,-0.47244436,-15.821041,-0.53167295,30.778278,0.28835356,0.008389194,1.6912082,0.0041576857,3.8300052,0.52906513,0.93526083,32.383858,0.27790686,9.295572,1.5208447,12.221375,0.7013019,26.701693,0.47817945,1.0111353,18.321371,0.036601715,0.020211456,0.14245619,2.006689,1.7006804,0.15799999,0.117541485,0.34,0.15033296,-22.210543,data/happy/2.wav,happy
25.190264,0.047716893,23.8821,25.568493,26.208218,2.3261185,30.504349,17.23572,9.193475,6.6624217,0.21555817,0.45511958,0.15227012,0.18493849,0.2752142,0.12294407,2.5937705,1.3528903,1.0912739,1.1219038,0.07835201,0.9723718,33.993504,0.264142,-8.072831,-1.7812905,3.7934883,2.3114345,16.688965,0.740509,0.020616507,0.9698141,1.5543439,0.49751452,6.318219,0.24891393,-1.3219981,-3.1720877,31.626125,0.22988677,879.85254,0.22282927,1158.3702,0.17802759,-139.70567,-0.59145117,1870.2645,0.112219036,1078.5388,0.17803724,-142.4648,-0.55256945,3034.5503,0.08352686,942.724,0.24466762,-146.95882,-0.4944731,-18.75779,-0.30943266,36.16316,0.1782217,-0.007006784,-2.5052733,0.010243446,1.128073,0.15229744,0.51435155,38.14966,0.13683586,7.9442344,0.9731732,13.221105,0.47371992,29.54259,0.3690952,-0.6952336,18.908997,0.044079773,0.016817713,0.03570269,2.3411372,1.0238909,0.32999998,0.21416503,0.62666667,0.39330503,-30.727098,data/sad/1.wav,sad
27.02872,0.0938431,25.068806,26.720215,28.487839,3.419033,58.095535,16.526743,-1.4535019,30.962812,0.81851375,0.47109467,0.50302696,0.8068482,1.0255642,0.52253723,8.091235,6.037461,6.3793373,3.901356,0.47405475,0.9091874,30.512648,0.20943911,8.442456,0.90953857,24.570456,0.35168484,10.089942,0.9669658,0.022234552,1.2476585,1.0549941,0.661853,6.437081,0.36328885,7.3490534,0.73122084,24.531229,0.2548194,537.84424,0.44971174,1286.1013,0.2590085,-44.260593,-1.553569,1566.2925,0.13680702,931.7528,0.34410053,-52.700695,-1.2106593,2595.8918,0.11747824,974.6551,0.3814257,-56.93777,-1.0943553,-16.98157,-0.24042957,24.737799,0.24693148,0.019747002,0.8518002,-0.014060953,-0.8406251,0.5189322,0.85268337,31.548634,0.15869984,8.056568,0.9461606,26.778765,0.25410134,11.6446,0.72794354,-17.033936,26.674507,0.012272994,-0.011722314,0.29728845,3.6789298,1.7006804,0.478,0.5424168,0.086,0.032619014,-16.505608,data/sad/2.wav,sad
33.510887,0.11377722,31.552048,32.36282,36.682606,5.130558,8.74831,15.711616,119.061935,0.0,0.45955577,1.3454767,0.12927222,0.2645184,0.3759852,0.24671298,1.7661948,4.8487844,8.640533,5.9685955,0.25394195,2.2771537,22.227955,0.5418341,-7.9769034,-1.2468662,7.958607,0.9589995,-2.3003573,-3.648902,0.042671774,0.88587445,1.467003,0.32838225,2.6459675,0.86184245,-2.1760914,-2.8673923,17.658726,0.43216917,876.63605,0.112625875,1099.6748,0.14805888,-182.58263,-0.3014643,1946.364,0.07737954,797.46326,0.21168844,-182.15364,-0.30007774,2914.0737,0.041309524,871.66943,0.1451679,-182.78523,-0.28853166,-5.6087184,-1.3850577,15.27032,0.48617083,0.054936077,0.3553232,-0.022325082,-0.6410925,1.3423011,0.46375957,30.732817,0.2981323,-17.738512,-1.0855212,2.200428,7.1375165,-13.397062,-0.40069464,-5.703092,13.13588,0.020015962,0.0028739877,0.129897,0.6688963,1.0238909,0.086666666,0.036817867,0.87,1.1739109,-21.74968,data/angry/6.wav,angry
26.71178,0.11985304,23.695107,26.723597,28.9922,5.2970943,367.50873,376.96463,80.38565,93.217316,0.5212067,0.7823726,0.29570764,0.41743246,0.56491685,0.2692092,2.9661875,2.9726691,8.644102,8.929716,0.28019938,1.2249314,30.165445,0.3077982,3.0119169,2.7845116,14.293511,0.6191123,-3.217777,-2.874726,0.037506558,1.2301129,1.3489609,0.42958358,4.558768,0.47681242,1.769306,5.159423,22.504646,0.59860647,608.14545,0.36968443,1352.5182,0.1562601,-151.42044,-0.5313126,1644.6005,0.17076302,1060.9747,0.20504372,-153.89085,-0.49529085,2683.6743,0.11929547,916.64905,0.28877655,-155.15384,-0.47810894,-17.854822,-0.4097559,26.270885,0.34466717,0.021942073,1.0387908,-0.021957234,-0.25402927,0.5973203,0.9175637,37.34291,0.18745114,-0.41064614,-28.999079,16.214518,0.69691265,-3.1202612,-4.897014,-14.355109,24.123695,0.0141685195,-0.010233043,0.17267366,1.0033445,1.7006804,0.144,0.104038455,0.35166666,0.2468749,-22.178041,data/angry/5.wav,angry
30.073103,0.05924224,28.497755,31.083673,31.650108,3.1523533,32.196785,16.561403,3.7920494,9.016129,0.37378147,0.74049336,0.17614116,0.24274695,0.6241219,0.44798076,3.8457637,3.9218392,5.543391,3.960949,0.14420322,0.7662978,36.99399,0.22552454,3.911833,2.927784,13.159324,0.61612844,-7.3079567,-1.3984448,0.022863507,2.1372073,1.1242917,1.1557215,9.224864,0.20026532,2.3145182,3.0771444,30.09153,0.29290992,609.5109,0.34041768,1472.7212,0.13710608,-139.03616,-0.63303137,1673.0623,0.21298046,1186.5796,0.16755079,-144.35484,-0.5527829,2835.8845,0.11035577,1020.94824,0.39638036,-146.21326,-0.52638966,-21.740158,-0.373436,32.537453,0.22214927,0.025163896,0.82619995,-0.025599351,-0.3876019,0.25169754,0.37612343,45.52639,0.12844451,8.407832,2.046997,18.238945,0.4893483,-12.411786,-1.118564,-14.974783,24.787024,0.0013734334,-0.009319477,0.09306142,2.006689,0.6825939,0.475,0.235,0.6433333,0.52569526,-25.514671,data/angry/4.wav,angry
24.032526,0.10025037,21.826574,24.968496,26.346779,4.5202045,129.20348,21.153994,21.39975,16.787983,0.35629022,1.0375013,0.15084627,0.17799039,0.48006982,0.32922354,10.535806,12.21501,6.1089783,4.338142,0.20525995,1.6333864,35.672085,0.22924827,-11.937477,-0.9043818,2.9101167,2.18675,8.638023,1.0349537,0.039125394,0.75895405,1.528825,0.45262834,2.5727937,0.57686865,-1.5709221,-3.6746407,27.760313,0.20328665,613.5998,0.39461148,1329.5071,0.10087094,-175.86768,-0.34495664,1619.8846,0.17101368,1106.8379,0.18461531,-176.44174,-0.32312396,2694.0083,0.109294556,1027.513,0.20382401,-177.95477,-0.30023134,-12.838161,-0.4711707,27.326752,0.21678394,0.020684056,0.841994,-0.009464055,-1.3974395,0.5559116,0.7555112,40.253246,0.19913699,-4.1650624,-1.9866608,10.855053,0.62438506,11.48736,1.160762,-3.889936,22.803505,0.035299353,0.009830484,0.14936313,2.006689,2.0408165,0.056666665,0.032489315,0.3528571,0.4303724,-25.388723,data/angry/1.wav,angry
